id,w1,w2,s1,s2,beta,activate_layer3
1539493,0.4821,0.5179,0.7355,0.8201,0.8458,0
1539302,0.4742,0.5258,0.7368,0.8384,1.0161,0
1539464,0.4764,0.5236,0.721,0.8181,0.9714,0
1539481,0.4953,0.5047,0.8192,0.8626,0.4339,0
1539483,0.5,0.5,0.789,0.7848,0.0424,0
1538949,0.4937,0.5063,0.7834,0.8337,0.503,0
1538823,0.479,0.521,0.756,0.8478,0.9175,0
1539419,0.497,0.503,0.7385,0.773,0.3459,0
1539426,0.5,0.5,0.767,0.7643,0.0278,0
1539472,0.4995,0.5005,0.7434,0.757,0.1356,0
1538472,0.4923,0.5077,0.7533,0.8088,0.5551,0
1539445,0.4989,0.5011,0.7878,0.8086,0.2081,0
1539258,0.4982,0.5018,0.7324,0.7591,0.2678,0
1539444,0.4801,0.5199,0.6645,0.7537,0.892,0
1539438,0.48,0.52,0.7564,0.8459,0.8949,0
1539431,0.5162,0.4838,0.8379,0.7573,0.8063,0
1539428,0.4978,0.5022,0.747,0.7763,0.2933,0
1539285,0.4936,0.5064,0.7743,0.8248,0.5043,0
1539407,0.4934,0.5066,0.7903,0.8416,0.5131,0
1539409,0.5033,0.4967,0.8516,0.8153,0.3631,0
1539370,0.4921,0.5079,0.6955,0.7516,0.5614,0
1539416,0.4892,0.5108,0.7504,0.8161,0.6568,0
1539184,0.5013,0.4987,0.8189,0.7963,0.2255,0
1539393,0.4969,0.5031,0.7699,0.8053,0.354,0
1539401,0.498,0.502,0.7598,0.7881,0.2837,0
1539413,0.5,0.5,0.7725,0.77,0.0248,0
1539381,0.4912,0.5088,0.7103,0.7697,0.5941,0
1539284,0.5013,0.4987,0.8288,0.8058,0.2297,0
1539379,0.4997,0.5003,0.7249,0.7366,0.1172,1
1539294,0.4991,0.5009,0.7672,0.7862,0.1896,0
1539364,0.4979,0.5021,0.8469,0.8759,0.2897,0
1539360,0.4816,0.5184,0.6648,0.7506,0.858,0
1539251,0.4956,0.5044,0.7265,0.7687,0.4218,0
1539255,0.4585,0.5415,0.7027,0.8317,1.29,0
1539254,0.5,0.5,0.7371,0.7376,0.0053,1
1539076,0.4995,0.5005,0.7055,0.7192,0.1375,1
1539175,0.4975,0.5025,0.7883,0.82,0.3166,0
1539356,0.4977,0.5023,0.8519,0.882,0.3009,0
1539141,0.5008,0.4992,0.728,0.7099,0.1814,1
1539354,0.4865,0.5135,0.7022,0.7757,0.735,0
1539320,0.5001,0.4999,0.7221,0.7164,0.0565,1
1539288,0.4953,0.5047,0.703,0.7464,0.4339,1
1539276,0.5025,0.4975,0.8239,0.7921,0.3181,0
1539266,0.5008,0.4992,0.7793,0.7618,0.1751,0
1539263,0.5,0.5,0.7781,0.7823,0.0415,0
1539235,0.4981,0.5019,0.7381,0.7658,0.2767,0
1539232,0.5009,0.4991,0.7982,0.7795,0.1872,0
1539229,0.5002,0.4998,0.8409,0.8321,0.0886,0
1539220,0.502,0.498,0.7716,0.7437,0.2795,0
1538365,0.4959,0.5041,0.7322,0.7727,0.405,0
1539350,0.5002,0.4998,0.7837,0.775,0.0866,0
1539346,0.5133,0.4867,0.8187,0.7456,0.7307,0
1539339,0.5104,0.4896,0.8064,0.7418,0.6459,0
1539340,0.4986,0.5014,0.8134,0.8373,0.2386,0
1539002,0.5007,0.4993,0.7828,0.7656,0.1727,0
1539286,0.5,0.5,0.8101,0.8143,0.0426,0
1539261,0.5092,0.4908,0.7888,0.7282,0.6059,0
1508536,0.4998,0.5002,0.7413,0.7502,0.0888,0
1539158,0.4967,0.5033,0.6881,0.7242,0.3612,1
1539317,0.4858,0.5142,0.771,0.8463,0.7525,0
1539230,0.5006,0.4994,0.8316,0.8158,0.1581,0
1536304,0.4983,0.5017,0.7885,0.8148,0.2629,0
1539292,0.4882,0.5118,0.6844,0.7531,0.6874,0
1530850,0.4921,0.5079,0.7593,0.8156,0.563,0
1539306,0.5,0.5,0.8176,0.8179,0.0025,0
1539309,0.4965,0.5035,0.7149,0.7522,0.373,0
1539308,0.5056,0.4944,0.8246,0.7774,0.4717,0
1512400,0.4982,0.5018,0.7625,0.7891,0.2665,0
1539293,0.5001,0.4999,0.7381,0.7328,0.0539,1
1538501,0.4789,0.5211,0.781,0.8729,0.9186,0
1539289,0.4999,0.5001,0.7684,0.7735,0.0514,0
1539099,0.5002,0.4998,0.7474,0.7374,0.0999,1
1539170,0.4921,0.5079,0.7942,0.8503,0.5604,0
1512380,0.4987,0.5013,0.69,0.7128,0.2286,1
1517542,0.5,0.5,0.7817,0.7817,0.0001,0
1539264,0.4997,0.5003,0.7228,0.7338,0.1096,1
1539247,0.4893,0.5107,0.7931,0.8584,0.6539,0
1539262,0.5046,0.4954,0.7642,0.7214,0.4282,0
1538443,0.4899,0.5101,0.6818,0.7454,0.6361,1
1539244,0.5081,0.4919,0.7556,0.6985,0.571,0
1539231,0.5029,0.4971,0.7322,0.6983,0.3391,1
1530756,0.4959,0.5041,0.7791,0.8197,0.4056,0
1539227,0.5049,0.4951,0.8298,0.7857,0.4416,0
1539179,0.4516,0.5484,0.6757,0.815,1.3936,0
1539211,0.5202,0.4798,0.8812,0.7914,0.8986,0
1539217,0.5061,0.4939,0.8011,0.7518,0.4931,0
